0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Malik Thomas,Norfolk St.,MEAC,31,63.5,110,19,50,51.9,6.2,13.8,15.1,13.2,41,65,0.631,64,129,0.496,38,113,0.336,4.2,1.1,26.9,Sr,6-7,11,1.95629,106.665,4.4,2015,12422,all,30.2,1.79416471,42,66,22,63,0.6364,0.3492,8,8,1
David Brown,Western Michigan,MAC,32,82.5,107.7,23.7,51.6,55.6,1.5,11.6,14.4,14.7,105,143,0.734,76,147,0.517,77,224,0.344,0.2,2.5,38.5,Sr,6-4,5,3.09021,112.158,3.4,2015,13022,all,52.6,1.15877813,65,101,11,46,0.6436,0.2391,0,0,
Brian Richardson,High Point,BSth,29,59.4,99.2,18.1,46.3,50.4,2.6,9.7,14.7,18.8,43,60,0.717,46,100,0.46,24,77,0.312,2.3,1.3,33.9,Sr,6-4,1,0.744668,93.872,3.3,2015,14954,all,58.2,1.51213611,32,61,14,39,0.5246,0.359,5,8,0.625
Isaac Smith,Maryland Eastern Shore,MEAC,28,25.7,63.1,15.9,25,30.7,1.1,7,24,41.4,12,23,0.522,7,30,0.233,3,16,0.188,0,1.8,50,Sr,6-1,13,-1.22409,56.4205,2.8,2015,14965,all,,1.18919328,5,22,2,8,0.2273,0.25,0,0,
Terence Smith,Mississippi,SEC,34,39.4,109,14.1,48,50,0.4,8.2,20.3,14.9,14,19,0.737,24,58,0.414,24,67,0.358,0.4,1,15.2,Sr,6-4,3,1.19093,107.053,3.6,2015,14987,all,,3.0527917,7,11,17,47,0.6364,0.3617,0,0,
Steve Frankoski,Columbia,Ivy,25,51.5,110.5,16.9,55.1,56.6,0.9,9.6,6.2,13.6,12,13,0.923,21,53,0.396,44,105,0.419,1,1,8.2,Sr,6-2,5,1.72139,107.718,2.4,2015,15056,all,,0.84209086,3,11,18,42,0.2727,0.4286,0,0,
Dwayne Polee II,San Diego St.,MWC,20,29,97.1,23.5,42.4,46.5,3.7,11.8,9.1,13.6,37,58,0.638,29,71,0.408,20,68,0.294,1.7,4.4,41.7,Sr,6-7,5,1.37934,104.875,2.6,2015,15129,all,67.2,0.8,13,23,16,48,0.5652,0.3333,6,9,0.6667
Ralph Hill,Oakland,Horz,30,21.6,119.4,15.3,56.3,59.7,2.2,10.8,9.9,11.3,14,16,0.875,9,12,0.75,21,60,0.35,1.2,1.5,22.2,Sr,6-6,0,0.93573,115.085,4.7,2015,15217,all,56.4,2,9,11,0,1,0.8182,0,0,0,
Jamal Mitchell,UNC Greensboro,SC,2,1.7,59.6,8.5,25,25,0,0,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,Sr,6-4,35,-1.41495,44.1259,4,2015,15238,all,,,0,0,1,4,,0.25,0,0,
Marcus Thornton,Georgia,SEC,31,67,106.8,22.5,49.6,54.3,7.1,20.5,8.7,13.8,103,149,0.691,126,251,0.502,9,30,0.3,4.3,1.6,53,Sr,6-8,2,2.96326,114.806,4.2,2015,15301,all,76,0.69566682,89,132,36,119,0.6742,0.3025,12,13,0.9231
