0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
DeAndrae Ross,Troy,SB,7,11.5,67.1,16.9,34.5,36.1,3.1,3.4,13.8,32.8,3,6,0.5,4,11,0.364,4,18,0.222,0,0.4,20.7,Jr,6-2,13,-1.2519,63.9858,4.2,2011,2,all,,0.76926391,1,2,3,9,0.5,0.3333,0,0,
Pooh Williams,Utah St.,WAC,33,64.5,105.6,18.7,48.1,52.4,0.8,4.5,16.2,16.7,53,65,0.815,43,109,0.394,49,133,0.368,0.4,0.5,26.9,Sr,6-4,5,1.73875,102.488,2.9,2011,3,all,,1.6046815,30,56,13,53,0.5357,0.2453,6,7,0.8571
Grant Leiendecker,Butler,Horz,14,1.9,115.3,25.4,75,82.9,0,25.3,0,33.5,6,6,1,0,0,0,4,8,0.5,4.1,4.3,75,Sr,6-5,22,0.284728,122.94,9.7,2011,41,all,,0,0,0,0,0,,,0,0,
Jabari Deshields,Alabama A&M,SWAC,25,28,62.6,16.2,31.7,37.3,3.3,6.9,23.1,43.1,11,18,0.611,10,32,0.313,2,9,0.222,0.4,3.6,43.9,Sr,5-10,12,-1.11411,54.593,5.1,2011,55,all,,0.94285714,5,11,5,20,0.4545,0.25,0,0,
Charles Jenkins,Hofstra,CAA,32,92.4,123.2,28.7,57.7,62.9,1.6,6,31.3,12.8,179,217,0.825,176,317,0.555,63,152,0.414,1.8,2.7,46.3,Sr,6-3,22,6.27994,131.682,2.1,2011,57,all,,2.11262845,93,139,83,178,0.6691,0.4663,0,0,
Greg Washington,Hofstra,CAA,32,71.8,106.6,15,46.9,49.8,7.8,9.4,5.7,10.7,35,48,0.729,100,212,0.472,0,1,0,7.5,2.3,22.5,Sr,6-10,32,1.51849,98.2791,4.8,2011,61,all,,1.08333333,40,63,60,149,0.6349,0.4027,10,11,0.9091
Moussa Camara,Binghamton,AE,31,74.4,102.1,20.6,48.2,51.6,1.5,6.2,7.5,12.8,53,66,0.803,38,117,0.325,73,189,0.386,0.5,0.8,21.6,Sr,6-6,1,1.67835,99.3349,2,2011,79,all,,0.73682493,15,44,23,73,0.3409,0.3151,2,3,0.6667
Vernon Macklin,Florida,SEC,37,59.7,107.5,24.3,59.3,57.8,10.9,10.2,7.7,17.7,46,102,0.451,191,322,0.593,0,0,0,3.1,0.9,31.7,Sr,6-10,32,2.80274,116.365,4,2011,91,all,95,0.47618488,128,168,63,154,0.7619,0.4091,32,35,0.9143
Levi Knutson,Colorado,B12,37,66.6,130.4,16.3,63.1,65.4,2.8,6.5,7,11.1,45,50,0.9,76,139,0.547,78,167,0.467,0.2,1.3,16.3,Sr,6-4,24,4.1171,127.396,2.7,2011,92,all,36.4,1.19360229,38,60,38,79,0.6333,0.481,0,0,
Frank Hassell,Old Dominion,CAA,34,73.3,117.5,26.1,56,60,15,15.3,9.7,17.6,123,167,0.737,196,350,0.56,0,0,0,5.3,1.9,47.7,Sr,6-9,21,4.14334,123.906,2.4,2011,100,all,,0.54284049,146,211,50,138,0.6919,0.3623,8,8,1
