0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Josh Warren,Cornell,Ivy,29,64.2,101.1,22.4,57,59.8,3.4,15.7,22.6,23.3,55,76,0.724,90,158,0.57,19,50,0.38,2.4,0.9,36.5,Jr,6-8,22,1.59907,104.728,3.6,2019,27085,all,,1.14281918,77,121,13,37,0.6364,0.3514,3,4,0.75
Luke Worthington,BYU,WCC,32,26.3,106.4,15.4,49.3,52.3,9.9,14.3,5.1,13.7,24,40,0.6,33,67,0.493,0,0,0,0.6,1.8,59.7,Sr,6-10,41,0.595477,103.202,8.8,2019,30969,all,49,0.76913611,26,36,7,31,0.7222,0.2258,0,0,
Dontel Highsmith,Cleveland St.,Horz,29,39.2,113.6,11.8,50.6,56,2.2,7.8,9.8,12.4,26,32,0.813,21,41,0.512,14,42,0.333,0.7,1.3,38.6,Sr,6-2,11,0.815889,101.894,3.1,2019,31053,all,,2.30734382,18,34,3,7,0.5294,0.4286,0,0,
Dylan Jones,Rice,CUSA,3,0.8,204.6,11,100,101.7,0,10.9,0,0,2,2,1,2,2,1,0,0,0,0,5.6,100,Sr,6-8,4,1.21569,192.117,0,2019,31249,all,30,,2,2,0,0,1,,1,1,1
Emmanuel Toney,Texas A&M Corpus Chris,Slnd,28,72.9,91.2,19,44.8,48,2.3,11.3,25.3,26.2,38,56,0.679,49,116,0.422,25,77,0.325,0.3,2.2,29,Sr,6-2,22,0.109685,88.0894,2.5,2019,31389,all,,1.57142857,43,81,6,35,0.5309,0.1714,0,0,
Damarion Geter,Longwood,BSth,27,55.4,96.2,12.9,49,50.4,5,17.3,10,21.9,24,44,0.545,38,76,0.5,8,26,0.308,3.4,1.6,43.1,Sr,6-8,24,-0.292553,83.6095,3.6,2019,31509,all,,1.02696136,33,53,5,25,0.6226,0.2,7,9,0.7778
Parker Van Dyke,Utah,P12,31,60.3,120.4,15.3,60.3,61,0.6,6.2,13.1,13.8,11,14,0.786,18,33,0.545,72,176,0.409,0.6,2.3,6.7,Sr,6-3,5,2.69818,119.136,3,2019,32009,all,,1.92583238,15,21,3,12,0.7143,0.25,1,1,1
Andre Adams,Southern Utah,BSky,31,56.5,99.2,23.5,58.7,59.9,7.4,23.6,10.9,24.3,51,80,0.637,129,212,0.608,2,13,0.154,3.3,1.2,35.6,So,6-9,32,1.00267,99.6349,6.2,2019,32932,all,62.8,0.46753525,91,128,34,79,0.7109,0.4304,10,11,0.9091
Mitch Hahn,Nebraska Omaha,Sum,31,79.8,111.7,20.8,54.5,56.6,3.5,21,9.2,11.9,48,62,0.774,106,199,0.533,55,147,0.374,0.6,0.9,17.9,Sr,6-8,44,2.61656,110.497,2.7,2019,33470,all,,1.20458182,38,68,68,131,0.5588,0.5191,4,5,0.8
Ryan Andino,Maryland Eastern Shore,MEAC,30,69.2,91.7,20,43.4,45.5,0.6,6.6,4.3,5.9,26,30,0.867,17,48,0.354,78,261,0.299,0,1,9.7,Sr,6-2,1,0.203454,89.1242,1.1,2019,33478,all,,0.88888889,8,13,9,35,0.6154,0.2571,0,0,
Chancellor Barnard,Binghamton,AE,31,76.2,109.1,13.4,64.4,61.4,8.5,15.3,4.8,20.4,31,68,0.456,90,141,0.638,1,1,1,5.2,1.1,47.9,Sr,6-4,2,1.42818,100.515,3.9,2019,33513,all,,0.53336756,90,133,0,8,0.6767,0,14,14,1
Keon Williams,St. Francis NY,NEC,31,50.8,111.4,10.8,54.1,55.5,3.7,12.8,6.4,13.5,15,23,0.652,23,40,0.575,24,69,0.348,0.7,1.3,21.1,Sr,6-4,13,0.593139,95.4045,3.1,2019,33534,all,,1.3888176,21,28,2,12,0.75,0.1667,3,3,1
