0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Kajon Mack,Tennessee Tech,OVC,30,85.5,106.7,20.1,46.8,52.5,3.9,12.3,21.2,15.6,102,133,0.767,89,193,0.461,37,116,0.319,1.3,1.5,43,Sr,6-3,10,2.1333,104.774,2.8,2018,24412,all,,2.1,64,107,25,86,0.5981,0.2907,3,7,0.4286
Hans Brase,Iowa St.,B12,21,25.9,84.1,12.2,34.3,40.3,5,21.8,6.1,21.9,13,17,0.765,11,34,0.324,5,20,0.25,2.6,0.7,31.5,Sr,6-9,30,-0.466362,78.7346,3.2,2018,24504,all,,0.799944,8,19,3,15,0.4211,0.2,0,0,
Peter Ryckbosch,DePaul,BE,19,10.9,111.8,12.5,65.4,57.8,14.2,18.6,0,13.2,1,9,0.111,17,26,0.654,0,0,0,2.7,2.1,34.6,Sr,6-10,30,0.446483,105.432,6.8,2018,25836,all,,0,16,23,1,3,0.6957,0.3333,0,0,
Jalan West,Northwestern St.,Slnd,5,15,116.2,17.3,56.4,59.6,2.1,11.8,27.7,21.4,7,8,0.875,1,11,0.091,14,28,0.5,0,2.2,20.5,Sr,5-11,12,2.7414,113.79,1.3,2018,27063,all,,3.08333333,1,7,0,4,0.1429,0,0,0,
Josh Warren,Cornell,Ivy,27,37.9,88.2,19.7,46.6,50.2,4.8,17,19.1,28.8,17,20,0.85,42,85,0.494,4,18,0.222,2.2,0.7,19.4,So,6-8,22,-0.0361009,86.7851,6.2,2018,27085,all,,1,32,56,10,29,0.5714,0.3448,1,1,1
Ben Carter,Michigan St.,B10,23,12.7,95.4,10,41.2,36.9,5.8,11.2,16.9,26.3,1,7,0.143,7,16,0.438,0,1,0,2.9,1,41.2,Sr,6-9,13,-0.0359474,86.1174,4.7,2018,27796,all,71.4,2.50028752,4,5,3,11,0.8,0.2727,0,0,
Marcus Lee,California,P12,31,70.2,102.5,22.5,57,58.2,11.3,18.6,11.4,24.2,61,99,0.616,150,263,0.57,0,0,0,6.8,1.3,37.6,Sr,6-11,24,1.95619,107.468,5,2018,28733,all,96.6,0.49410835,100,148,50,114,0.6757,0.4386,45,46,0.9783
Mike Thomas,Hawaii,BW,26,55,116,26.5,58,62.4,10.5,21.4,13.1,14.5,105,146,0.719,114,187,0.61,6,25,0.24,1.5,0.4,68.9,Sr,6-7,13,2.96177,123.088,5.4,2018,28746,all,46.2,0.75003182,89,108,23,72,0.8241,0.3194,21,22,0.9545
Jaaron Simmons,Michigan,B10,32,15.7,95,16.5,50,51.4,1.9,9.7,23.8,29.2,8,14,0.571,12,24,0.5,6,18,0.333,0,0.5,33.3,Sr,6-1,5,0.184495,94.1914,4,2018,28768,all,45.8,1.66656191,12,17,0,7,0.7059,0,0,0,
J.T. Miller,Missouri St.,MVC,31,49.8,95.2,23.1,49.3,51.2,4.1,14.2,12.8,21.3,32,49,0.653,91,181,0.503,11,37,0.297,1.2,1.4,22.5,Sr,6-2,23,0.99227,101.318,3.6,2018,28833,all,49.2,0.76923077,58,96,33,85,0.6042,0.3882,12,16,0.75
Tyler Smithpeters,Southern Illinois,MVC,32,61.8,104.7,18.2,52.8,55.4,2.9,18,18.1,19.2,41,59,0.695,30,61,0.492,49,135,0.363,0.6,2.7,30.1,Sr,6-4,11,1.47045,104.396,3.9,2018,28891,all,,1.63832327,20,31,10,30,0.6452,0.3333,0,0,
Gavin Schilling,Michigan St.,B10,34,23.3,116,16.2,70.6,67.8,15.7,23.1,6.1,24.2,28,48,0.583,36,51,0.706,0,0,0,3.8,1.4,94.1,Sr,6-9,34,0.941346,115.597,6.2,2018,28927,all,73.4,0.5453562,32,43,4,8,0.7442,0.5,15,16,0.9375
B.J. Johnson,La Salle,A10,27,72.2,104.9,29.4,50,55.7,6.9,20.9,4.8,14.2,126,145,0.869,147,304,0.484,47,131,0.359,2.1,2.1,33.3,Sr,6-7,20,3.73713,118.15,2.4,2018,28950,all,82.4,0.27941235,70,107,75,188,0.6542,0.3989,27,28,0.9643
Luke Meikle,Cal Poly,BW,29,61.7,95.6,20.9,44,48.4,3.7,16.6,10,13.7,46,54,0.852,58,145,0.4,32,96,0.333,1,1.1,22.4,Sr,6-9,21,0.79998,96.6117,3.2,2018,29018,all,32.4,1,12,32,45,112,0.375,0.4018,0,0,
Ryan Edwards,Portland St.,BSky,31,43.3,100.1,26.3,47.6,50.5,10.2,14.2,5.9,16.3,50,74,0.676,108,222,0.486,8,30,0.267,10.9,0.9,29.4,Sr,7-1,44,1.21556,107.467,7.7,2018,29019,all,,0.35421107,33,61,65,143,0.541,0.4545,1,2,0.5
Josh Brown,Temple,Amer,33,82.3,102.4,17.1,47.6,50.6,2.3,10.9,19,17.7,48,66,0.727,80,187,0.428,31,79,0.392,1.1,1.5,24.8,Sr,6-3,1,1.85551,103.61,2.6,2018,29058,all,69.4,1.98208603,38,69,42,118,0.5507,0.3559,0,0,
Anthony Johnson,Northern Colorado,BSky,35,46.4,102.1,24.4,47.1,51.5,5.5,12.3,5,12.9,60,73,0.822,50,111,0.45,53,164,0.323,0.3,1.2,26.5,Sr,6-2,24,1.24563,106.649,4,2018,29082,all,,0.5499715,30,65,16,42,0.4615,0.381,0,1,0
Tre'Shaun Fletcher,Toledo,MAC,32,79.5,112.5,28.8,51.3,55.4,6.2,20,26.4,14.2,134,189,0.709,148,290,0.51,47,136,0.346,0.5,1.4,44.4,Sr,6-7,4,4.07835,123.275,2.8,2018,29083,all,82.6,1.79748528,82,141,66,149,0.5816,0.443,13,13,1
David Tillman,Arkansas Pine Bluff,SWAC,21,9.6,77.3,8.8,55.6,52.7,6.1,7.7,2.7,38.9,3,7,0.429,5,9,0.556,0,0,0,5.9,0.9,77.8,Sr,6-10,52,-0.629039,59.431,11.2,2018,29109,all,,0.24986877,4,5,1,4,0.8,0.25,2,2,1
Andrew Dakich,Ohio St.,B10,34,47,106.7,11.1,57.2,59.7,2.5,8.6,17.5,30.2,14,18,0.778,21,37,0.568,15,39,0.385,0.2,2.9,23.7,Sr,6-2,13,0.894153,101.048,2.5,2018,29150,all,,1.94596582,17,27,4,10,0.6296,0.4,0,0,
