0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Pooh Williams,Utah St.,WAC,32,64,108.3,18.1,53,53.3,2.3,5.9,14.6,14.1,33,62,0.532,70,134,0.522,36,100,0.36,0.9,1.4,26.5,Jr,6-3,5,1.97518,104.206,2.7,2010,3,all,,1.99990858,48,75,22,59,0.64,0.3729,6,7,0.8571
Nick Rodgers,Butler,Horz,11,1,121.1,16.8,75,75,0,0,15.8,24.8,0,0,0,0,1,0,2,3,0.667,0,0,0,Sr,6-2,14,0.158199,116.782,8,2010,11,all,,1,0,0,0,1,,0,0,0,
Dana Smith,Longwood,ind,27,81.8,99.8,27.7,49.9,53.8,6.9,17.6,15.6,18.6,123,187,0.658,126,261,0.483,33,91,0.363,1.4,1.4,53.1,Sr,6-5,22,2.73624,107.461,4.3,2010,13,all,,0.77380991,82,134,44,127,0.6119,0.3465,3,4,0.75
Matt Beck,Fordham,A10,7,1.3,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-0,20,-0.805653,-25,0,2010,15,all,,,,,,,,,,,
Alex Hornat,Connecticut,BE,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-5,22,-0.563957,-25,0,2010,25,all,,,,,,,,,,,
Carlos Strong,Boston University,AE,35,76.2,118.1,16.4,58.8,60.9,4.7,11.5,12.3,15.1,73,107,0.682,65,136,0.478,59,125,0.472,1.4,3.1,41,Sr,6-3,22,3.04964,112.031,3.5,2010,32,all,3.2,1.34038275,47,78,19,58,0.6026,0.3276,13,15,0.8667
Sherrod Smith,Boston University,AE,29,9.5,60.7,6.9,8.3,14.9,3.2,13.9,7.7,6.1,3,10,0.3,1,10,0.1,0,2,0,0.8,1.3,83.3,Sr,6-4,34,-0.63521,43.698,3.9,2010,33,all,,5.99710145,1,7,0,3,0.1429,0,0,0,
Eulis Stephens,Detroit,Horz,31,31.6,110.2,13.9,51.3,55.9,6.1,10.6,8.4,16,33,49,0.673,33,54,0.611,4,22,0.182,1.1,1.7,64.5,Sr,6-4,24,0.810893,100.625,3.8,2010,34,all,,1.12497578,27,40,6,14,0.675,0.4286,4,5,0.8
Brett Gifford,Albany,AE,30,39.4,79.3,10.1,46.8,46.8,4.4,18.3,7.2,34.5,4,9,0.444,29,61,0.475,0,1,0,5.4,1.4,14.5,Sr,6-11,54,-1.07933,64.9496,5,2010,37,all,,0.62066825,16,21,13,40,0.7619,0.325,0,0,
Valdas Sirutis,Boston University,AE,32,36.9,92.5,9.7,40.8,43.5,6.4,10.1,6.6,21.4,16,31,0.516,14,31,0.452,7,29,0.241,0.4,0.8,51.7,Sr,6-7,15,-0.290318,78.1925,7.5,2010,38,all,,1,9,18,4,13,0.5,0.3077,0,0,
Corey Lowe,Boston University,AE,32,75.7,91.5,28.9,46.3,49.3,3.1,11.5,28.8,24.6,88,134,0.657,84,204,0.412,75,220,0.341,1.4,2.1,31.6,Sr,6-2,13,2.03406,100.926,3,2010,39,all,55.6,1.01492537,39,76,45,128,0.5132,0.3516,0,1,0
Grant Leiendecker,Butler,Horz,14,2.4,89.5,26.9,39.3,45.8,7.1,3.4,6.1,18.8,4,5,0.8,1,3,0.333,3,11,0.273,0,6.7,35.7,Jr,6-5,22,0.135948,98.1998,5.4,2010,41,all,,0.33317779,1,1,0,2,1,0,0,0,
Patrick Bouli,Manhattan,MAAC,31,70.9,99.1,10,47.2,51,1.4,13.2,13.8,23.3,20,22,0.909,16,42,0.381,28,81,0.346,0.6,2.9,17.9,Sr,6-2,10,0.231794,85.6962,3.1,2010,43,all,,1.85721878,6,14,10,28,0.4286,0.3571,0,0,
Antoine Pearson,Manhattan,MAAC,31,59,97,20.3,42.8,48.2,1.6,9.1,18.8,15.8,72,110,0.655,64,150,0.427,15,52,0.288,0.3,3.1,54.5,Sr,6-2,14,1.08029,96.4904,3,2010,45,all,,1.65000388,49,93,15,57,0.5269,0.2632,0,0,
Chris Harris,Navy,Pat,30,86.2,98.6,30.3,44.3,51.9,0.8,7.4,13.1,15.4,178,204,0.873,95,255,0.373,88,257,0.342,0.3,3.2,39.8,Sr,6-2,5,2.86861,107.096,3.2,2010,47,all,,0.63638223,59,133,36,122,0.4436,0.2951,0,0,
T.J. Topercer,Navy,Pat,28,27.4,73.6,14.9,39.7,42.5,4.8,13.9,5.8,30.3,9,13,0.692,15,24,0.625,8,44,0.182,0,1.7,19.1,Sr,6-7,21,-0.801815,63.8851,6.8,2010,49,all,14.2,0.37032044,15,18,0,6,0.8333,0,0,0,
Brandon Adams,Manhattan,MAAC,27,51,102.7,18,44,50.3,9.8,13.5,7.2,15.4,58,82,0.707,64,147,0.435,1,2,0.5,4.5,2.4,55,Sr,6-6,32,1.32461,99.5953,6.2,2010,51,all,,0.73332733,41,87,23,60,0.4713,0.3833,7,9,0.7778
Darryl Crawford,Manhattan,MAAC,31,83,100.6,25.5,44.1,50,5.7,15.3,15.5,15,123,165,0.745,136,304,0.447,21,76,0.276,1.5,2.1,43.4,Sr,6-5,24,2.68141,106.558,2.7,2010,52,all,,1.02984315,81,136,55,168,0.5956,0.3274,5,5,1
Jabari Deshields,Alabama A&M,SWAC,22,45.2,63.1,18.4,26.9,33.5,3.9,6.8,25.7,37.3,23,40,0.575,12,57,0.211,6,21,0.286,0.5,2.9,51.3,Jr,5-10,12,-1.58566,58.1877,4.9,2010,55,all,,1,5,24,7,33,0.2083,0.2121,0,0,
Charles Jenkins,Hofstra,CAA,33,91.5,109.4,28.1,49.8,55.3,3.2,10.1,24.9,17.7,167,208,0.803,170,375,0.453,62,153,0.405,1.5,2.8,39.4,Jr,6-3,22,4.57667,119.077,2.9,2010,57,all,,1.24762713,86,133,78,227,0.6466,0.3436,2,2,1
Pierre Curtis,James Madison,CAA,33,84.9,107.6,16.3,46.3,56.8,2.8,9,23,23.6,116,142,0.817,57,126,0.452,20,62,0.323,0.6,2.5,75.5,Sr,6-3,51,2.14711,101.564,2.5,2010,60,all,24.8,1.89042087,38,61,19,64,0.623,0.2969,0,0,
Greg Washington,Hofstra,CAA,32,59.9,97.1,16,44.1,47,9.9,15.9,5.9,18.9,32,45,0.711,90,203,0.443,0,1,0,11.6,1.4,22.1,Jr,6-10,32,0.723031,91.7033,5.3,2010,61,all,,0.57142857,35,49,51,143,0.7143,0.3566,14,18,0.7778
Matt Parker,James Madison,CAA,27,21.7,87.9,16.2,45.2,45.3,2.9,9.8,6.9,19,1,2,0.5,8,19,0.421,20,65,0.308,2.6,0.8,2.4,Sr,6-8,31,-0.0338668,82.431,6,2010,62,all,29,0.66666667,6,8,2,10,0.75,0.2,1,1,1
Evan Neisler,Drexel,CAA,31,44.8,98.7,14.7,60.9,63.6,10.1,17.1,1.5,30.9,36,52,0.692,53,87,0.609,0,0,0,2.5,1.3,59.8,Sr,6-8,33,0.508482,91.242,6.1,2010,72,all,,0.09299978,44,64,9,23,0.6875,0.3913,15,15,1
