0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Bobby Austin,Furman,SC,29,76.4,89.5,16.9,43.9,48.4,2.7,10.1,11.2,22.4,40,47,0.851,35,108,0.324,37,98,0.378,1,1.8,22.8,Sr,6-3,22,-0.0662206,82.1304,3,2013,428,all,,0.77777778,13,28,22,80,0.4643,0.275,1,3,0.3333
Anthony Marshall,UNLV,MWC,34,85.3,107.7,18.8,54.2,57.5,2.5,10.3,33.5,24.8,86,127,0.677,81,148,0.547,36,101,0.356,1,2.1,51,Sr,6-3,3,3.05115,108.436,2.7,2013,951,all,85.2,2.13831519,56,82,25,66,0.6829,0.3788,3,3,1
Trevor Mbakwe,Minnesota,B10,34,62.1,107.5,22.8,56.5,58.6,15.7,24.4,9.6,22.6,97,158,0.614,121,213,0.568,0,1,0,6.7,1.7,73.8,Sr,6-8,32,2.92944,116.668,4,2013,1985,all,,0.52856033,88,126,33,87,0.6984,0.3793,31,36,0.8611
Justin Hawkins,UNLV,MWC,34,55.8,93.6,14.3,39.9,42.6,3.4,8.6,14.3,16.5,26,41,0.634,30,72,0.417,26,101,0.257,2,3.6,23.7,Sr,6-3,31,0.440079,88.418,2.7,2013,2201,all,43.4,1.90315859,20,38,10,34,0.5263,0.2941,1,1,1
Tony Johnson,Lafayette,Pat,33,78.7,119,23.2,59.5,63.3,2.4,12.7,33.5,18.4,89,110,0.809,135,238,0.567,29,62,0.468,0.7,3.7,36.7,Sr,6-0,3,4.0707,119.9,2.3,2013,2615,all,,2.16441391,93,144,42,94,0.6458,0.4468,0,0,
Alex Smith,Bethune Cookman,MEAC,32,55,104.8,15.2,57.7,57,9.4,20.9,7.1,19.8,27,54,0.5,82,141,0.582,0,1,0,9.6,1.9,38,Sr,6-7,2,1.03338,96.1981,4.4,2013,3902,all,,0.63893333,62,99,20,42,0.6263,0.4762,31,34,0.9118
Isaac Sosa,Canisius,MAAC,34,62.8,121.6,19.3,59,60.2,2.9,6.5,9.2,12.6,26,32,0.813,41,79,0.519,95,232,0.409,0.6,1.1,10.3,Sr,6-3,22,3.27919,120.127,2,2013,4377,all,48,1.05712065,16,29,25,50,0.5517,0.5,0,0,
Kendall Timmons,Tulane,CUSA,34,73.9,98,18.6,40.3,49.2,5.3,13.2,15.3,20.7,116,170,0.682,71,177,0.401,8,29,0.276,1.1,2.7,82.5,Sr,6-5,22,1.25961,95.0356,2.7,2013,4386,all,4.8,1.15623672,52,99,19,78,0.5253,0.2436,6,8,0.75
Anthony James,Northern Iowa,MVC,31,72.1,93.5,25.7,48.6,51.8,0.7,13.8,16.3,19.2,66,88,0.75,109,244,0.447,41,107,0.383,0.1,1.7,25.1,Sr,6-0,52,2.23118,102.901,1.8,2013,4416,all,,0.84415637,49,80,60,164,0.6125,0.3659,0,0,
Jordan Cyphers,Tennessee St.,OVC,30,70.9,112.4,19.1,48.5,56,3.2,6.1,7.3,14.4,103,118,0.873,42,107,0.393,59,162,0.364,1.5,1.2,43.9,Sr,6-4,45,2.57851,107.958,2.6,2013,4417,all,23.6,0.73807143,24,50,18,57,0.48,0.3158,3,3,1
Andrey Semenov,James Madison,CAA,7,9.4,130.8,21.5,59,61.8,5.1,12.5,14.7,4.2,11,14,0.786,10,22,0.455,13,28,0.464,3.4,3.6,28,Sr,6-7,11,3.07357,128.174,4.7,2013,4469,all,,4.00035002,4,9,6,13,0.4444,0.4615,1,1,1
Frankie Sullivan,Auburn,SEC,32,76.5,92.2,28.9,43.7,49.4,1.7,13.1,22.1,20.4,113,143,0.79,92,201,0.458,56,202,0.277,1.1,2,35.5,Sr,6-1,23,2.33648,104.429,3.3,2013,4596,all,80.2,0.91836735,64,113,28,88,0.5664,0.3182,2,2,1
Andrew Steele,Alabama,SEC,20,27.1,81.3,17.6,38.7,43.3,2.2,10.6,17.7,28.6,18,27,0.667,20,47,0.426,6,28,0.214,0.3,3.7,36,Sr,6-4,22,-0.154876,80.4217,3.2,2013,4856,all,84.2,1.1,12,20,8,26,0.6,0.3077,0,0,
Rotnei Clarke,Butler,A10,32,76.4,107.4,26.1,53.2,56.6,1.6,8.7,18.9,20.5,76,86,0.884,67,160,0.419,110,276,0.399,0.1,1.3,19.7,Sr,6-0,15,4.08193,117.832,2,2013,4860,all,88.8,0.93548498,27,50,40,110,0.54,0.3636,0,0,
Michael Davenport,St. Bonaventure,A10,28,26.7,89,16.5,41.1,44.8,2.8,10.5,16,24.2,11,13,0.846,18,43,0.419,8,30,0.267,0,2.5,17.8,Sr,6-5,45,0.0473826,83.9827,3.5,2013,4964,all,,1.23813333,8,16,10,27,0.5,0.3704,2,2,1
