0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Sean Carter,Massachusetts,A10,37,70.3,105.5,14.7,56.8,56.7,10.2,11.8,4.9,20.2,65,121,0.537,117,206,0.568,0,0,0,3.9,1.3,58.7,Sr,6-9,54,1.68823,99.7431,4.3,2012,113,all,25,0.5,112,180,5,26,0.6222,0.1923,54,59,0.9153
Kareem Nitoto,UC Riverside,BW,29,79,86.8,19.1,40.6,45.1,2.7,8,16.3,21.7,51,71,0.718,48,143,0.336,30,86,0.349,0.7,0.8,31,Sr,6-1,5,-0.0102524,82.526,1.8,2012,122,all,26.8,1.09836455,29,52,19,91,0.5577,0.2088,5,5,1
Jihad Ali,Georgia St.,CAA,33,81,101.5,20.8,46.7,49.3,4,14.1,8.9,12.7,56,77,0.727,117,267,0.438,40,112,0.357,2.1,2.8,20.3,Sr,6-5,14,1.93556,99.6346,2.4,2012,157,all,,0.9574498,36,65,81,202,0.5538,0.401,1,3,0.3333
Jay Threatt,Delaware St.,MEAC,24,81.4,107.1,18.2,42.5,49.7,1.7,8.7,33.3,18.8,62,76,0.816,59,131,0.45,12,50,0.24,0.5,5.1,42,Sr,5-11,4,2.28173,100.264,2,2012,161,all,,3.06388194,16,34,42,96,0.4706,0.4375,0,0,
Tim Abromaitis,Notre Dame,BE,2,5.5,82.1,28.3,33.3,40.8,3.2,1.5,15.1,18.1,8,9,0.889,10,19,0.526,0,11,0,0,0.9,30,Sr,6-8,21,1.53341,94.2469,3.7,2012,209,all,34.8,0.83333333,2,6,8,13,0.3333,0.6154,1,1,1
Malcolm White,LSU,SEC,29,21.3,86.5,22.3,46.2,45.8,8.6,14.8,4,19,15,36,0.417,42,91,0.462,0,0,0,3.1,1.1,39.6,Sr,6-9,5,0.275485,90.7241,5.3,2012,389,all,76.4,0.24996375,24,31,18,60,0.7742,0.3,13,14,0.9286
Bobby Austin,Furman,SC,28,66.7,97.4,16.4,52.1,55.4,2.9,8.5,11,26.4,33,41,0.805,37,79,0.468,34,90,0.378,1.9,1.8,24.3,Sr,6-3,22,0.646221,89.3549,3,2012,428,all,,0.70367106,12,18,25,61,0.6667,0.4098,0,0,
George Valentine,Winthrop,BSth,30,81.5,103.7,15.5,52.7,52.9,9.7,19.1,5.2,16.8,37,72,0.514,106,201,0.527,0,0,0,3.8,2.9,35.8,Sr,6-9,43,1.23626,93.4409,3.3,2012,438,all,,0.56098632,70,101,36,100,0.6931,0.36,22,23,0.9565
Ty Proffitt,Morehead St.,OVC,30,78.8,108,17.8,50.4,55.5,1.4,9,14.6,18.8,67,84,0.798,45,96,0.469,45,127,0.354,0,1.5,37.7,Sr,6-4,13,2.02263,101.122,1.9,2012,474,all,32.8,1.2083125,12,23,33,73,0.5217,0.4521,0,0,
Trevor Gaskins,Louisiana Tech,WAC,31,72.6,105.2,20.6,52.1,55.7,3.3,9.4,14.5,18.4,69,91,0.758,70,152,0.461,53,135,0.393,0,2.1,31.7,Sr,6-2,5,2.18187,103.333,3.3,2012,661,all,28.6,1.06560959,33,56,37,96,0.5893,0.3854,1,1,1
Jabari Edwards,George Washington,A10,31,46.9,98.3,11.5,50,50.1,10.7,12.3,4.6,22.5,13,27,0.481,40,80,0.5,0,0,0,9,1.5,33.8,Sr,6-10,13,0.416478,89.0218,4.6,2012,715,all,57.8,0.58331181,32,46,8,34,0.6957,0.2353,7,9,0.7778
Chris McEachin,Norfolk St.,MEAC,34,74.1,100.5,22.1,48.6,52,3,7.2,8.1,17.4,74,100,0.74,75,168,0.446,70,202,0.347,1.7,2.3,27,Sr,6-6,35,1.62487,98.2764,3.4,2012,732,all,,0.56713691,55,97,20,71,0.567,0.2817,10,12,0.8333
Nick Martineau,BYU,WCC,17,3.5,110.9,12.8,59.1,59.1,0,4.7,14.8,18.5,0,0,0,2,7,0.286,3,4,0.75,0,1.2,0,Jr,6-0,14,0.145119,98.0735,0.9,2012,782,all,,2.00085034,0,0,2,7,,0.2857,0,0,
Anthony Marshall,UNLV,MWC,33,78.9,101,23.8,47.3,52.8,4,12.4,26.3,23,115,160,0.719,118,236,0.5,19,74,0.257,2.2,2.7,51.6,Jr,6-3,3,2.70405,106.947,3,2012,951,all,85.2,1.44553356,90,156,28,80,0.5769,0.35,29,31,0.9355
Anthony Gatlin,Cornell,Ivy,2,0.5,0,17.3,0,0,0,23.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Sr,6-8,13,-0.745988,-3.375,16,2012,993,all,,,0,0,0,1,,0,0,0,
Darryl Partin,Boston University,AE,32,84,95.7,32.8,47.1,50.9,4,8.1,9,17.6,123,171,0.719,149,315,0.473,69,221,0.312,0.3,2,31.9,Sr,6-6,1,3.08872,109.037,2,2012,1017,all,,0.34654501,69,105,78,203,0.6571,0.3842,0,0,
Anthony Breeze,Bethune Cookman,MEAC,27,54,100,23.3,49.8,54,6.7,15.4,7.5,19.2,79,118,0.669,107,215,0.498,0,0,0,2,2.3,54.9,Sr,6-5,5,1.59571,99.9992,3.6,2012,1025,all,,0.44233865,65,107,42,108,0.6075,0.3889,22,24,0.9167
Omar Carter,Appalachian St.,SC,29,71.8,97.6,24.9,44.7,48.8,6.3,14.7,13.7,16.3,77,113,0.681,84,201,0.418,34,101,0.337,0.6,2,37.4,Sr,6-5,21,1.82036,100.831,2.5,2012,1027,all,,0.89473416,31,57,53,144,0.5439,0.3681,0,0,
Scoop Jardine,Syracuse,BE,37,62.9,106.5,22.8,54.7,55.1,1.9,8.3,35.7,24.4,38,69,0.551,87,163,0.534,39,103,0.379,0.5,3.3,25.9,Sr,6-2,11,2.69066,113.356,1.7,2012,1030,all,89.6,2.12941279,62,86,25,77,0.7209,0.3247,0,0,
Matt Hill,Massachusetts,A10,7,2.5,75.3,10.3,41.7,43.2,0,10.8,4.2,27.6,1,2,0.5,1,2,0.5,1,4,0.25,2.7,1.4,33.3,Sr,6-7,50,-0.386923,62.0041,8.4,2012,1062,all,,0.50017501,1,1,0,1,1,0,1,1,1
Max Groebe,Cornell,Ivy,17,8.3,71.4,14,33.3,33.3,0,0,2.3,4.7,0,0,0,0,0,0,6,27,0.222,0,2.6,0,Sr,6-4,11,-0.349719,63.7348,3.1,2012,1063,all,52.6,1,0,0,0,0,,,0,0,
Tyler Bernardini,Penn,Ivy,31,68.2,111.1,21.2,53.3,56.9,4,10.8,9.8,11.5,72,95,0.758,64,143,0.448,59,143,0.413,1.3,2.6,33.2,Sr,6-6,4,2.90635,111.219,3.3,2012,1087,all,,1.11434898,39,69,25,74,0.5652,0.3378,2,2,1
Craig Williams,TCU,MWC,31,41.8,104,23.1,50,53.5,7.8,19.5,5.9,14.3,51,73,0.699,65,134,0.485,22,62,0.355,1.2,0.3,37.2,Sr,6-8,41,1.60873,109.095,6.5,2012,1088,all,,0.4516,46,76,19,58,0.6053,0.3276,1,1,1
Jeff Jordan,UCF,CUSA,12,20.3,84.6,11.1,41.9,43.6,0,3.2,16.5,29.1,6,12,0.5,10,18,0.556,2,13,0.154,0.4,3,38.7,Sr,6-1,13,-0.72774,72.6311,1.9,2012,1090,all,,1.69232899,7,10,3,8,0.7,0.375,0,0,
Mike Moore,Hofstra,CAA,32,86.6,105.5,28.4,50.4,56.1,2.3,10.1,16.3,17.7,156,191,0.817,119,270,0.441,81,207,0.391,0.2,3,40,Sr,6-5,23,3.85705,114.72,2.6,2012,1318,all,,0.70212766,67,106,52,164,0.6321,0.3171,0,0,
Alexis Wangmene,Texas,B12,31,48.8,103.2,13.1,51.6,54.9,10.1,13.5,2.2,21.9,46,76,0.605,49,95,0.516,0,0,0,4.1,1.5,80,Sr,6-7,20,1.08801,97.1922,5.1,2012,1321,all,83.6,0.25002422,42,58,7,37,0.7241,0.1892,14,14,1
Tommy Hubbard,East Tennessee St.,ASun,29,78.4,98.7,19.3,47.6,50.9,9.2,15.9,7.5,21.5,56,82,0.683,93,195,0.477,19,60,0.317,0.6,4.2,32.2,Sr,6-4,13,1.3374,94.4958,4.5,2012,1331,all,9,0.53029571,59,100,34,95,0.59,0.3579,0,0,
Timothy Price,Texas Southern,SWAC,33,33.4,85.5,14.2,39.8,42,11.1,12,3.1,20.9,16,31,0.516,33,82,0.402,0,1,0,7.3,2.9,37.3,Sr,6-11,25,-0.384755,74.3643,5.6,2012,1359,all,,0.27268637,21,39,11,43,0.5385,0.2558,4,5,0.8
Sammy Zeglinski,Virginia,ACC,30,75.5,97.8,17.8,49.1,51.5,0.9,11.7,17.6,19.7,30,39,0.769,26,58,0.448,59,175,0.337,0.4,3.2,16.7,Sr,6-1,13,1.57524,96.6695,2.4,2012,1360,all,65.8,1.55772226,18,32,8,26,0.5625,0.3077,0,0,
Reggie Hamilton,Oakland,Sum,35,88.6,118,34.8,54.4,61.3,2.4,9.9,34.2,17.1,255,291,0.876,161,343,0.469,117,276,0.424,0.2,3.1,47,Sr,5-11,23,6.32912,133.676,3.1,2012,1361,all,,1.38638172,105,190,56,153,0.5526,0.366,0,0,
Justin Glenn,Lipscomb,ASun,30,62,98.5,17.9,57.6,56.7,9.2,22,12.1,25.7,38,76,0.5,95,164,0.579,0,1,0,6.7,1.7,46.1,Sr,6-8,15,0.963089,93.6684,5.4,2012,1363,all,,0.74190739,82,119,13,45,0.6891,0.2889,31,33,0.9394
Vinnie McGhee,Cal St. Northridge,BW,26,62.5,89.1,21.8,39.9,43.3,1.4,5.9,30.2,22.6,33,44,0.75,21,61,0.344,44,157,0.28,0,3,20.2,Sr,5-10,11,0.495871,88.3132,2.9,2012,1421,all,,1.59998109,6,8,15,52,0.75,0.2885,0,1,0
Raschard Boatner,Grambling St.,SWAC,3,8.3,63.6,24,35.7,39.5,1.2,8.5,16.6,34.9,4,5,0.8,1,4,0.25,6,24,0.25,0,0.6,17.9,Sr,6-0,3,-1.61431,67.6109,2.6,2012,1458,all,,0.46154201,1,1,0,3,1,0,0,0,
Paris Carter,Illinois Chicago,Horz,28,43.5,84.2,23,42.5,47.4,10.3,14.7,5.2,25.4,56,100,0.56,48,113,0.425,0,0,0,0.7,0.9,88.5,Sr,6-7,34,0.285036,87.301,5.8,2012,1521,all,,0.23915028,38,77,10,36,0.4935,0.2778,8,11,0.7273
Austin Steed,East Carolina,CUSA,11,13.4,76.5,24.4,37.8,42.8,11.3,21.6,8.7,28.8,13,23,0.565,14,37,0.378,0,0,0,3.7,2.1,62.2,Sr,6-8,25,-0.0810568,80.8579,6.3,2012,1611,all,,0.35296021,11,22,3,15,0.5,0.2,0,1,0
Zac Swansey,Tennessee Tech,OVC,31,89.2,90.5,17.5,48.1,48.5,1.3,6.4,30.4,32.1,17,32,0.531,52,123,0.423,40,110,0.364,0.1,3.2,13.7,Sr,6-1,2,0.167564,83.9626,1.7,2012,1679,all,72.2,1.64486035,26,42,26,80,0.619,0.325,1,1,1
Jeremy Jacob,Oregon,P12,34,37.3,95.7,17.7,46.9,47.8,8.4,13.9,4.6,17,16,29,0.552,67,142,0.472,0,1,0,0.6,0.8,20.3,Sr,6-8,23,0.630219,94.7975,4.6,2012,1793,all,,0.46148817,22,32,45,110,0.6875,0.4091,1,1,1
Michael Lizarraga,Cal St. Northridge,BW,19,31.2,83.2,20.2,32.9,41.9,10.8,18.4,11.2,25.8,31,42,0.738,26,79,0.329,0,0,0,2.7,2,53.2,Sr,6-7,42,-0.12357,80.5397,6.7,2012,1794,all,,0.58618882,25,58,1,21,0.431,0.0476,2,2,1
Nick Weiermiller,UT Rio Grande Valley,GWC,27,62.7,84.3,15.8,48.3,50.2,1,8.3,27.7,34.6,12,16,0.75,18,40,0.45,27,81,0.333,0,1.6,13.2,Sr,6-1,12,-0.553996,76.4774,3,2012,1868,all,,1.375,10,15,8,25,0.6667,0.32,0,0,
Willie Powers III,Georgia Southern,SC,28,77.2,98.7,24.2,48.4,52.3,2,12.7,34.9,24.4,61,84,0.726,84,168,0.5,25,83,0.301,0.5,2.4,33.5,Sr,6-2,50,1.98051,100.91,2.6,2012,1942,all,,1.6860715,41,63,43,105,0.6508,0.4095,0,0,
Trevor Mbakwe,Minnesota,B10,7,12.9,111,27.2,60.4,66.1,17.5,15.3,11.2,25.2,40,55,0.727,29,48,0.604,0,0,0,7,2.5,114.6,Jr,6-8,32,3.71305,119.883,3.2,2012,1985,all,,0.45454835,26,36,3,12,0.7222,0.25,15,16,0.9375
Justin Hawkins,UNLV,MWC,33,60.1,109.8,15,47.2,49.5,4.7,6.6,11.5,9.1,42,70,0.6,41,81,0.506,35,117,0.299,1.4,3.3,35.4,Jr,6-3,31,1.88188,104.851,2.6,2012,2201,all,43.4,2.73671414,36,59,5,22,0.6102,0.2273,2,2,1
Chris De La Rosa,UMBC,AE,1,2.7,109.9,33,50,55.6,3.2,3.6,73.4,21.3,6,9,0.667,4,7,0.571,1,4,0.25,0,1.8,81.8,Sr,5-10,10,3.82358,116.009,3.6,2012,2217,all,,2.5,2,2,2,5,1,0.4,0,0,
